,BikeID,DockID,Timestamp
170,1053,251.0,1602967369.0
171,1201,24.0,1601748989.0
172,2280,14.0,1603561457.0
173,2542,24.0,1603828320.0
174,2141,76.0,1602959991.0
175,2783,383.0,1601815772.0
176,2444,158.0,1602946157.0
177,744,225.0,1603044134.0
178,227,385.0,1603229290.0
179,2093,530.0,1601822402.0
180,1243,130.0,1602689493.0
181,1854,399.0,1602961265.0
182,629,187.0,1602336336.0
183,761,302.0,1602576656.0
184,898,12.0,1602947003.0
185,1918,544.0,1602958995.0
186,2295,75.0,1602099116.0
187,1113,377.0,1602775408.0
188,2601,368.0,1603525010.0
189,2256,355.0,1602007622.0
190,2317,451.0,1603296715.0
191,2243,451.0,1601789819.0
192,1327,451.0,1602394505.0
193,1401,411.0,1602672063.0
194,1603,230.0,1603469355.0
195,2121,454.0,1601719894.0
196,2310,526.0,1603108409.0
197,1036,188.0,1602950794.0
198,795,78.0,1601898960.0
199,1944,76.0,1602263408.0
200,2530,553.0,1603913126.0
201,1780,133.0,1603789528.0
202,2912,133.0,1603180823.0
203,668,355.0,1603134888.0
204,1298,62.0,1602749777.0
205,1980,240.0,1601825291.0
206,1622,191.0,1603915180.0
207,964,148.0,1602680245.0
208,2124,294.0,1602794799.0
209,766,669.0,1602781065.0
210,821,294.0,1603923325.0
211,530,137.0,1602505478.0
212,645,158.0,1603739371.0
213,2714,158.0,1603126164.0
214,1282,294.0,1603479568.0
215,2249,158.0,1602697906.0
216,1420,294.0,1604150770.0
217,97,136.0,1603478995.0
218,1332,294.0,1603408312.0
219,1939,12.0,1603742110.0
220,1141,8.0,1602847897.0
221,833,528.0,1602410459.0
222,1840,29.0,1602492530.0
223,1809,496.0,1602932142.0
224,84,456.0,1603470746.0
225,197,130.0,1604180777.0
226,2309,3.0,1602338220.0
227,2260,516.0,1602181583.0
228,889,169.0,1602187970.0
229,2300,186.0,1603459984.0
230,1161,452.0,1604145108.0
231,2943,102.0,1604145930.0
232,1062,14.0,1603042574.0
233,2167,130.0,1601589734.0
234,2540,322.0,1602691245.0
235,2949,68.0,1602690598.0
236,1481,445.0,1602441759.0
237,981,130.0,1601935155.0
238,2431,97.0,1602329705.0
239,2600,181.0,1602932983.0
240,2267,375.0,1603016532.0
241,2176,20.0,1602694323.0
242,134,277.0,1602190707.0
243,1230,443.0,1603658921.0
244,1808,141.0,1602056790.0
245,1683,589.0,1602321733.0
246,1450,76.0,1603214760.0
247,46,544.0,1603725202.0
248,2837,544.0,1603813448.0
