,BikeID,DockID,Timestamp
70,1114,21.0,1602067989.0
71,2457,437.0,1603356588.0
72,2807,369.0,1602761716.0
73,1213,125.0,1602796948.0
74,485,305.0,1601732801.0
75,1903,146.0,1603231702.0
76,2406,145.0,1602092708.0
77,1853,185.0,1603546557.0
78,1288,585.0,1601656413.0
79,342,177.0,1601552573.0
80,2110,60.0,1603024707.0
81,2984,15.0,1601545314.0
82,1462,626.0,1601545059.0
83,732,298.0,1603394460.0
84,2057,130.0,1603910946.0
85,2979,398.0,1604171975.0
86,1063,398.0,1601997763.0
87,857,131.0,1602604906.0
88,2739,185.0,1604146506.0
89,1307,83.0,1601987185.0
90,687,80.0,1604060340.0
91,1457,80.0,1604060257.0
92,1901,666.0,1601706371.0
93,2809,101.0,1603534990.0
94,2668,14.0,1603275200.0
95,2975,80.0,1601630413.0
96,849,80.0,1602671143.0
97,2094,429.0,1603839635.0
98,2567,80.0,1603011923.0
99,1283,22.0,1602001368.0
100,158,14.0,1604085178.0
101,68,499.0,1601642930.0
102,144,645.0,1602588066.0
103,2445,192.0,1603879255.0
104,695,437.0,1602692590.0
105,2147,451.0,1601928575.0
106,536,94.0,1602508329.0
107,2063,130.0,1603473556.0
108,2762,23.0,1602866991.0
109,447,23.0,1602583780.0
110,2443,185.0,1603036604.0
111,1531,23.0,1603651535.0
112,860,24.0,1603652448.0
113,1831,144.0,1601735726.0
114,2586,355.0,1602237566.0
115,1199,451.0,1602140477.0
116,926,355.0,1601828060.0
117,323,497.0,1604135317.0
118,2833,120.0,1603272888.0
119,1045,634.0,1601707317.0
120,2458,138.0,1602072618.0
121,2855,120.0,1601707833.0
122,2172,497.0,1603208139.0
123,617,248.0,1601569095.0
124,2693,497.0,1602055851.0
125,1701,497.0,1602003163.0
126,1289,178.0,1603721731.0
127,1754,497.0,1603265250.0
128,135,497.0,1603522977.0
129,1542,461.0,1603198130.0
130,1103,302.0,1601883098.0
131,1064,680.0,1602341933.0
132,991,497.0,1602851944.0
133,488,575.0,1603719087.0
134,251,68.0,1604127117.0
135,1369,429.0,1603732768.0
136,9,181.0,1602602989.0
137,1163,120.0,1601974926.0
138,1499,131.0,1603106302.0
139,820,81.0,1602491224.0
140,20,70.0,1604170487.0
141,2999,195.0,1602955965.0
142,2999,131.0,1602924214.0
143,1201,626.0,1603835511.0
144,1829,95.0,1601820167.0
145,889,273.0,1603023137.0
146,1523,89.0,1602086818.0
147,1004,644.0,1603713252.0
148,1129,644.0,1603353195.0
149,615,233.0,1602549642.0
150,365,456.0,1603195977.0
151,2723,123.0,1602608886.0
152,1856,456.0,1603728701.0
153,566,456.0,1603522245.0
154,690,456.0,1603871382.0
155,2729,644.0,1602778678.0
156,1528,644.0,1602778718.0
157,2966,533.0,1602607084.0
158,2169,644.0,1603465611.0
159,615,456.0,1603180092.0
160,348,272.0,1602405468.0
161,138,131.0,1602009858.0
162,1111,80.0,1601807746.0
163,749,548.0,1602099475.0
164,1021,108.0,1602782193.0
