,BikeID,DockID,Timestamp
104,1156,437.0,1602692590.0
105,870,451.0,1601928575.0
106,363,94.0,1602508329.0
107,2021,130.0,1603473556.0
108,1768,23.0,1602866991.0
109,1425,23.0,1602583780.0
110,499,185.0,1603036604.0
111,2423,23.0,1603651535.0
112,2783,24.0,1603652448.0
113,2943,144.0,1601735726.0
114,1120,355.0,1602237566.0
115,2800,451.0,1602140477.0
116,1737,355.0,1601828060.0
117,520,497.0,1604135317.0
118,612,120.0,1603272888.0
119,2744,634.0,1601707317.0
120,1251,138.0,1602072618.0
121,670,120.0,1601707833.0
122,1046,497.0,1603208139.0
123,950,248.0,1601569095.0
124,1936,497.0,1602055851.0
125,1496,497.0,1602003163.0
126,1061,178.0,1603721731.0
127,91,497.0,1603265250.0
128,832,497.0,1603522977.0
129,438,461.0,1603198130.0
130,0,302.0,1601883098.0
131,2374,680.0,1602341933.0
132,2422,497.0,1602851944.0
133,1443,575.0,1603719087.0
134,2662,68.0,1604127117.0
135,2548,429.0,1603732768.0
136,2493,181.0,1602602989.0
137,1364,120.0,1601974926.0
138,2117,131.0,1603106302.0
139,2254,81.0,1602491224.0
140,1175,70.0,1604170487.0
141,342,195.0,1602955965.0
142,1602,131.0,1602924214.0
143,1597,626.0,1603835511.0
144,2253,95.0,1601820167.0
145,2189,273.0,1603023137.0
146,350,89.0,1602086818.0
147,2122,644.0,1603713252.0
148,2199,644.0,1603353195.0
149,1179,233.0,1602549642.0
150,1674,456.0,1603195977.0
151,1419,123.0,1602608886.0
152,1008,456.0,1603728701.0
153,2579,456.0,1603522245.0
154,233,456.0,1603871382.0
155,510,644.0,1602778678.0
156,2129,644.0,1602778718.0
157,1940,533.0,1602607084.0
158,1827,644.0,1603465611.0
159,1224,456.0,1603180092.0
160,2497,272.0,1602405468.0
161,2723,131.0,1602009858.0
162,2269,80.0,1601807746.0
163,1377,548.0,1602099475.0
164,2262,108.0,1602782193.0
165,528,587.0,1603026031.0
166,483,456.0,1603627829.0
167,196,191.0,1601743450.0
168,164,27.0,1604164839.0
169,2127,22.0,1602323605.0
170,2181,529.0,1602966924.0
171,1716,173.0,1601748996.0
172,2455,525.0,1603560485.0
173,1201,26.0,1603827915.0
174,622,525.0,1602959143.0
175,2354,383.0,1601814065.0
176,1827,33.0,1602945090.0
177,17,226.0,1603043831.0
178,1831,385.0,1603229092.0
179,340,530.0,1601820686.0
180,1221,452.0,1602687810.0
181,1150,197.0,1602959148.0
182,1617,186.0,1602335228.0
183,2005,302.0,1602566898.0
184,2340,452.0,1602944080.0
185,1645,451.0,1602948877.0
186,2291,533.0,1602098012.0
187,1070,310.0,1602771597.0
188,646,410.0,1603523657.0
189,527,355.0,1602006045.0
190,1238,292.0,1603295250.0
191,1755,294.0,1601789100.0
192,2869,294.0,1602393762.0
193,1043,233.0,1602670736.0
194,2680,114.0,1603467517.0
195,2547,611.0,1601716792.0
196,884,21.0,1603107074.0
197,57,73.0,1602949608.0
198,2615,526.0,1601898240.0
199,2088,461.0,1602262838.0
200,147,553.0,1603910727.0
201,151,444.0,1603789145.0
202,3016,103.0,1603180353.0
203,2131,355.0,1603131099.0
204,489,452.0,1602748379.0
205,1257,230.0,1601821682.0
206,1269,417.0,1603914819.0
207,1671,294.0,1602679661.0
208,2355,669.0,1602794219.0
209,908,294.0,1602780713.0
