,Hour,StationEnd,Count,Day,Year,Count1,Count1week,Count2week,Count3week,Count4week
36214,21,34,2,74,2011,2,0,2,0,2
36219,21,18,1,74,2011,0,0,0,0,2
36224,21,4,1,74,2011,1,0,0,0,3
36244,22,4,1,74,2011,1,1,0,0,0
36256,23,34,1,74,2011,0,0,0,0,1
36283,6,4,1,75,2011,0,0,0,0,1
36289,6,34,1,75,2011,0,0,1,0,2
36296,7,4,3,75,2011,1,0,2,0,1
36310,7,13,1,75,2011,0,0,0,0,1
36320,7,34,4,75,2011,1,1,0,1,2
36341,8,4,6,75,2011,3,0,2,0,2
36343,8,34,3,75,2011,4,0,2,0,1
36351,8,18,2,75,2011,0,1,0,1,2
36360,8,13,1,75,2011,1,0,0,1,0
36365,9,34,2,75,2011,3,0,1,3,0
36366,9,13,2,75,2011,1,1,1,0,0
36368,9,4,2,75,2011,6,3,1,1,0
36374,9,18,1,75,2011,2,0,1,0,0
36396,10,34,3,75,2011,2,1,0,2,1
36403,10,18,1,75,2011,1,0,0,0,1
36421,11,13,1,75,2011,0,0,1,0,1
36423,11,4,1,75,2011,0,2,0,0,2
36440,11,34,1,75,2011,3,2,0,0,3
36449,11,18,1,75,2011,1,0,2,0,2
36476,12,18,1,75,2011,1,0,1,0,3
36499,13,34,1,75,2011,0,2,2,0,4
36508,13,4,1,75,2011,0,0,0,0,5
36531,14,18,1,75,2011,0,0,0,0,1
36542,15,4,1,75,2011,0,2,1,0,0
36566,15,18,3,75,2011,1,0,2,0,0
36568,15,34,1,75,2011,0,4,2,1,0
36575,16,34,5,75,2011,1,1,1,0,1
36597,16,4,4,75,2011,1,1,0,0,0
36620,17,4,6,75,2011,4,2,1,2,0
36626,17,18,5,75,2011,0,2,2,2,0
36637,17,34,1,75,2011,5,0,1,2,0
36654,18,34,7,75,2011,1,2,1,3,0
36665,18,13,1,75,2011,0,0,1,2,0
36675,18,4,2,75,2011,6,2,0,1,5
36677,18,18,1,75,2011,5,0,2,1,0
36700,19,34,2,75,2011,7,0,1,0,4
36734,20,18,1,75,2011,0,0,0,0,0
36740,20,13,1,75,2011,0,1,1,2,1
36767,21,4,1,75,2011,0,0,0,0,2
36771,22,34,1,75,2011,0,1,0,0,0
36779,22,13,1,75,2011,0,1,0,0,1
36798,23,18,1,75,2011,0,3,0,0,0
36802,23,13,2,75,2011,1,2,0,1,0
36810,0,13,1,76,2011,2,1,2,0,0
36835,2,4,1,76,2011,0,0,0,0,0
36865,6,13,1,76,2011,0,1,0,0,1
36871,6,18,1,76,2011,0,1,0,0,1
36883,7,4,2,76,2011,0,2,1,0,1
36896,7,18,1,76,2011,1,1,2,0,0
36904,7,13,3,76,2011,1,1,3,0,1
36907,7,34,3,76,2011,0,0,0,0,2
36920,8,18,4,76,2011,1,0,1,0,0
36936,8,13,4,76,2011,3,2,1,0,0
36941,8,4,5,76,2011,2,1,0,2,1
36947,8,34,1,76,2011,3,0,1,0,2
36971,9,13,1,76,2011,4,1,1,0,0
36973,9,4,2,76,2011,5,0,3,0,0
36980,9,18,1,76,2011,4,3,3,1,0
36985,9,34,1,76,2011,1,0,2,3,0
37007,10,4,1,76,2011,2,0,2,5,0
37013,10,34,1,76,2011,1,1,4,0,1
37033,11,4,2,76,2011,1,4,2,1,2
37035,11,13,2,76,2011,0,2,0,0,1
37046,12,4,4,76,2011,2,1,2,1,0
37073,12,18,1,76,2011,0,1,2,1,1
37097,13,34,1,76,2011,0,1,3,0,0
37123,14,4,1,76,2011,0,0,1,3,1
37126,14,18,2,76,2011,0,1,3,0,1
37127,14,13,1,76,2011,0,0,0,2,1
37153,15,34,2,76,2011,0,2,1,0,1
37155,15,4,1,76,2011,1,1,1,0,3
37157,15,13,1,76,2011,1,3,0,1,1
37163,16,18,4,76,2011,0,1,1,1,0
37164,16,4,3,76,2011,1,0,1,1,2
37169,16,34,3,76,2011,2,0,0,0,1
37193,16,13,2,76,2011,1,0,0,0,2
37199,17,4,6,76,2011,3,2,0,0,1
37210,17,13,3,76,2011,2,0,0,0,0
37221,17,18,2,76,2011,4,1,0,1,0
37225,17,34,4,76,2011,3,1,0,0,0
37235,18,4,3,76,2011,6,3,0,0,0
37260,18,34,5,76,2011,4,2,0,2,0
37262,18,13,3,76,2011,3,3,0,0,0
37265,18,18,1,76,2011,2,3,0,0,1
37277,19,34,3,76,2011,5,0,4,0,1
37291,19,4,3,76,2011,3,3,6,1,2
37293,19,13,2,76,2011,3,6,1,1,1
37304,19,18,1,76,2011,1,3,1,0,1
37326,20,34,3,76,2011,3,0,2,2,0
37330,20,18,2,76,2011,1,0,0,0,0
37332,20,4,2,76,2011,3,1,0,0,0
37343,21,34,3,76,2011,3,3,1,0,0
37364,21,4,2,76,2011,2,0,0,0,0
37370,21,13,1,76,2011,0,1,1,0,1
37373,21,18,1,76,2011,2,1,1,2,1
37376,22,13,3,76,2011,1,0,3,2,1
37382,22,4,1,76,2011,2,2,2,1,0
37399,22,34,1,76,2011,3,0,2,0,0
37416,23,4,2,76,2011,1,0,2,0,0
37474,5,4,1,77,2011,0,0,0,2,1
